Code,Plot,Tree,TrHist,Species,DBH,DBHcm,PlotSize,Year,BasalArea,Equation
165_2021,9,218,10,371,17.9,45.465999999999994,SAW,2021,1623.541433776292,2
1650_2021,86,597,10,531,7.3,18.541999999999998,POLE,2021,270.0244156110565,3
1651_2021,86,87,10,371,14.3,36.322,SAW,2021,1036.1661240064732,2
1652_2021,86,88,10,371,22,55.88,SAW,2021,2452.4641988318895,2
1653_2021,86,741,31,531,4.9,12.446000000000002,POLE,2021,121.66046573130923,3
1654_2021,86,598,10,318,7.1,18.034,POLE,2021,255.4312402130486,1
1655_2021,86,742,31,531,4.8,12.192,POLE,2021,116.74540318406349,3
1656_2021,86,640,10,531,7.8,19.812,POLE,2021,308.28083028291763,3
1658_2021,86,641,10,531,5.3,13.462,POLE,2021,142.3341308784871,3
1659_2021,86,743,30,371,11.3,28.702,SAW,2021,647.014780059595,2
166_2021,9,589,10,371,15.3,38.862,SAW,2021,1186.1515378193326,2
1661_2021,86,642,10,531,12.8,32.512,SAW,2021,830.1895337533404,3
1663_2021,86,402,10,371,17.8,45.212,SAW,2021,1605.4519767725121,2
1664_2021,86,6,10,318,15.2,38.608,SAW,2021,1170.6969597068585,1
1665_2021,86,8,10,97,16.4,41.656,SAW,2021,1362.8404357806298,6
1666_2021,87,623,10,371,6.7,17.018,POLE,2021,227.46098736686673,2
1667_2021,87,540,10,371,8.6,21.843999999999998,POLE,2021,374.76085154050924,2
1668_2021,87,624,10,371,8.2,20.828,POLE,2021,340.71010894515746,2
167_2021,9,449,10,371,15.1,38.354,SAW,2021,1155.3437230902045,2
1670_2021,87,732,31,371,5.4,13.716000000000001,POLE,2021,147.75590090483036,2
1672_2021,87,345,10,531,14.4,36.576,SAW,2021,1050.7086286565714,3
1674_2021,87,469,10,318,14.2,36.068,SAW,2021,1021.7249608521944,1
1675_2021,87,543,10,371,8.9,22.606,POLE,2021,401.36299419312803,2
1676_2021,87,733,31,371,8,20.32,POLE,2021,324.2927866223985,2
1677_2021,87,544,10,318,14.2,36.068,SAW,2021,1021.7249608521944,1
1678_2021,87,734,30,318,10.6,26.924,SAW,2021,569.3365235139484,1
1679_2021,87,545,10,318,15.7,39.878,SAW,2021,1248.9832652274222,1
168_2021,9,675,10,371,11.7,29.718,SAW,2021,693.6318681365647,2
1680_2021,87,735,30,743,12.3,31.242,SAW,2021,766.5977451266044,2
1681_2021,87,13,10,318,25.9,65.786,SAW,2021,3399.0444405339244,1
1682_2021,88,16,10,531,9.4,23.876,POLE,2021,447.72672853054905,3
1683_2021,88,17,10,531,8.3,21.082,POLE,2021,349.0707823502662,3
1684_2021,88,18,10,531,14.7,37.338,SAW,2021,1094.944191581783,3
1685_2021,88,513,10,531,7.6,19.304,POLE,2021,292.6742399267146,3
1687_2021,88,20,10,371,14.9,37.846000000000004,SAW,2021,1124.941274344355,2
1688_2021,88,466,10,531,8.3,21.082,POLE,2021,349.0707823502662,3
1689_2021,88,632,10,531,5.8,14.732,POLE,2021,170.45639596839823,3
169_2021,9,590,10,316,15,38.1,SAW,2021,1140.09182796937,5
1691_2021,88,22,10,97,24.7,62.738,SAW,2021,3091.371659225924,6
1692_2021,88,633,10,531,5.7,14.478000000000002,POLE,2021,164.62925995877706,3
1693_2021,88,634,10,531,5.7,14.478000000000002,POLE,2021,164.62925995877706,3
1694_2021,88,468,10,531,7.9,20.066000000000003,POLE,2021,316.2361377047484,3
1695_2021,88,326,10,371,16.6,42.164,SAW,2021,1396.2831294010648,2
1696_2021,88,31,10,318,21.7,55.118,SAW,2021,2386.0348483222074,1
1697_2021,88,233,10,371,16,40.64,SAW,2021,1297.171146489594,2
1698_2021,88,38,10,371,16.7,42.418,SAW,2021,1413.1564884550114,2
1699_2021,88,40,10,97,20.2,51.308,SAW,2021,2067.56919770943,6
170_2021,10,705,31,531,5.5,13.97,POLE,2021,153.2790124269931,3
1701_2021,89,753,31,97,5.9,14.986,POLE,2021,176.38487347383898,6
1702_2021,89,648,10,97,6.9,17.526,POLE,2021,241.24343079831866,6
1703_2021,89,647,10,97,5.1,12.953999999999999,POLE,2021,131.79461531325913,6
1704_2021,89,649,10,97,6.1,15.494,POLE,2021,188.5458529721789,6
1705_2021,89,515,10,97,8.1,20.573999999999998,POLE,2021,332.4507770358682,6
1706_2021,89,469,10,97,5.6,14.223999999999998,POLE,2021,158.90346544497527,6
1707_2021,89,514,10,97,5.5,13.97,POLE,2021,153.2790124269931,6
1708_2021,89,96,10,316,14.5,36.83,SAW,2021,1065.3524748024888,5
