"resultados_df.PloKg_Ha","resultados_df.mg_ha","total_mean_mg_ha","total_sd_mgha","CV"
143209.756305696,71.6048781528478,71.24,1.32,1.86
141086.166409048,70.543083204524,71.24,1.32,1.86
145299.334092542,72.649667046271,71.24,1.32,1.86
142262.928836234,71.1314644181172,71.24,1.32,1.86
138738.917888802,69.3694589444012,71.24,1.32,1.86
140179.469043627,70.0897345218136,71.24,1.32,1.86
142899.309804108,71.4496549020539,71.24,1.32,1.86
149295.970165581,74.6479850827907,71.24,1.32,1.86
143980.074087506,71.9900370437529,71.24,1.32,1.86
139887.806705689,69.9439033528444,71.24,1.32,1.86
138374.9912194,69.1874956096998,71.24,1.32,1.86
145382.380523942,72.6911902619712,71.24,1.32,1.86
144268.900021653,72.1344500108266,71.24,1.32,1.86
139167.683324197,69.5838416620986,71.24,1.32,1.86
142315.754241779,71.1578771208895,71.24,1.32,1.86
141286.629276751,70.6433146383756,71.24,1.32,1.86
137925.100728541,68.9625503642706,71.24,1.32,1.86
148145.957236604,74.0729786183019,71.24,1.32,1.86
149204.172641463,74.6020863207316,71.24,1.32,1.86
144210.520719508,72.1052603597541,71.24,1.32,1.86
142544.395378986,71.2721976894929,71.24,1.32,1.86
140970.157667841,70.4850788339203,71.24,1.32,1.86
146774.015636592,73.387007818296,71.24,1.32,1.86
142876.043184406,71.4380215922029,71.24,1.32,1.86
139239.520518864,69.6197602594322,71.24,1.32,1.86
145740.350770196,72.870175385098,71.24,1.32,1.86
141475.067240538,70.7375336202691,71.24,1.32,1.86
139612.906992039,69.8064534960196,71.24,1.32,1.86
142886.642783233,71.4433213916165,71.24,1.32,1.86
138963.378924577,69.4816894622885,71.24,1.32,1.86
147389.513502832,73.6947567514162,71.24,1.32,1.86
142311.488066369,71.1557440331846,71.24,1.32,1.86
141658.362806453,70.8291814032267,71.24,1.32,1.86
145784.828926394,72.8924144631972,71.24,1.32,1.86
142056.53596343,71.0282679817152,71.24,1.32,1.86
143211.348771448,71.6056743857238,71.24,1.32,1.86
145210.17420743,72.6050871037149,71.24,1.32,1.86
147270.894266248,73.6354471331239,71.24,1.32,1.86
144228.703532505,72.1143517662525,71.24,1.32,1.86
142556.620434949,71.2783102174745,71.24,1.32,1.86
149428.770815316,74.7143854076582,71.24,1.32,1.86
141846.233596128,70.9231167980641,71.24,1.32,1.86
143709.440353043,71.8547201765213,71.24,1.32,1.86
140043.793970378,70.0218969851889,71.24,1.32,1.86
143939.18528164,71.96959264082,71.24,1.32,1.86
143824.751316171,71.9123756580855,71.24,1.32,1.86
142225.732050628,71.1128660253139,71.24,1.32,1.86
141542.621622281,70.7713108111408,71.24,1.32,1.86
140016.106083536,70.0080530417678,71.24,1.32,1.86
139769.927210752,69.8849636053759,71.24,1.32,1.86
138571.414009591,69.2857070047954,71.24,1.32,1.86
141591.379866376,70.7956899331877,71.24,1.32,1.86
142294.734773736,71.1473673868678,71.24,1.32,1.86
143953.219066123,71.9766095330613,71.24,1.32,1.86
142651.024937991,71.3255124689954,71.24,1.32,1.86
140870.871618601,70.4354358093007,71.24,1.32,1.86
144067.078731859,72.0335393659295,71.24,1.32,1.86
139920.591287834,69.960295643917,71.24,1.32,1.86
143551.251346531,71.7756256732657,71.24,1.32,1.86
139044.137788606,69.5220688943031,71.24,1.32,1.86
147763.240904625,73.8816204523123,71.24,1.32,1.86
141888.92744902,70.9444637245099,71.24,1.32,1.86
141886.473929879,70.9432369649394,71.24,1.32,1.86
139920.88220313,69.9604411015652,71.24,1.32,1.86
140501.724062342,70.250862031171,71.24,1.32,1.86
146311.248325982,73.1556241629912,71.24,1.32,1.86
139015.261695385,69.5076308476926,71.24,1.32,1.86
146346.330033223,73.1731650166117,71.24,1.32,1.86
145220.196730996,72.610098365498,71.24,1.32,1.86
140511.669872727,70.2558349363634,71.24,1.32,1.86
143763.491153774,71.881745576887,71.24,1.32,1.86
140530.847769597,70.2654238847986,71.24,1.32,1.86
