"PlotID","resultados_df.PloKg_Ha_1981","resultados_df.mg_ha_1981","total_mean_mg_ha_1981","total_sd_mgha_1981","CV_1981","resultados_df.PloKg_Ha_2021","resultados_df.mg_ha_2021","total_mean_mg_ha_2021","total_sd_mgha_2021","CV_2021","annual_rate","Diff"
143,142311.488066369,71.1557440331846,71.24,1.32,1.86,187457.908168048,93.7289540840239,94,2.09,2.22,0.564330251270982,22.5732100508393
144,141658.362806453,70.8291814032267,71.24,1.32,1.86,186596.084504585,93.2980422522923,94,2.09,2.22,0.56172152122664,22.4688608490656
145,145784.828926394,72.8924144631972,71.24,1.32,1.86,193568.877356302,96.784438678151,94,2.09,2.22,0.597300605373845,23.8920242149538
146,142056.53596343,71.0282679817152,71.24,1.32,1.86,187391.858700787,93.6959293503935,94,2.09,2.22,0.566691534216957,22.6676613686783
147,143211.348771448,71.6056743857238,71.24,1.32,1.86,189728.565705791,94.8642828528956,94,2.09,2.22,0.581465211679295,23.2586084671718
148,145210.17420743,72.6050871037149,71.24,1.32,1.86,191157.98383782,95.57899191891,94,2.09,2.22,0.574347620379878,22.9739048151951
149,147270.894266248,73.6354471331239,71.24,1.32,1.86,195166.476057037,97.5832380285186,94,2.09,2.22,0.598694772384867,23.9477908953947
150,144228.703532505,72.1143517662525,71.24,1.32,1.86,191958.681988756,95.979340994378,94,2.09,2.22,0.596624730703138,23.8649892281255
151,142556.620434949,71.2783102174745,71.24,1.32,1.86,188492.407509017,94.2462037545085,94,2.09,2.22,0.57419733842585,22.967893537034
152,149428.770815316,74.7143854076582,71.24,1.32,1.86,198058.400455808,99.029200227904,94,2.09,2.22,0.607870370506145,24.3148148202458
153,141846.233596128,70.9231167980641,71.24,1.32,1.86,186337.998066984,93.1689990334922,94,2.09,2.22,0.556147055885702,22.2458822354281
154,143709.440353043,71.8547201765213,71.24,1.32,1.86,189958.588708965,94.9792943544827,94,2.09,2.22,0.578114354449035,23.1245741779614
155,140043.793970378,70.0218969851889,71.24,1.32,1.86,183473.033887868,91.7365169439342,94,2.09,2.22,0.542865498968633,21.7146199587453
156,143939.18528164,71.96959264082,71.24,1.32,1.86,190316.572917866,95.1582864589332,94,2.09,2.22,0.57971734545283,23.1886938181132
157,143824.751316171,71.9123756580855,71.24,1.32,1.86,190462.995419883,95.2314977099413,94,2.09,2.22,0.582978051296395,23.3191220518558
158,142225.732050628,71.1128660253139,71.24,1.32,1.86,188231.107667965,94.1155538339826,94,2.09,2.22,0.575067195216717,23.0026878086687
159,141542.621622281,70.7713108111408,71.24,1.32,1.86,188195.221555758,94.097610777879,94,2.09,2.22,0.583157499168455,23.3262999667382
160,140016.106083536,70.0080530417678,71.24,1.32,1.86,184199.70653583,92.099853267915,94,2.09,2.22,0.55229500565368,22.0918002261472
161,139769.927210752,69.8849636053759,71.24,1.32,1.86,182932.257777042,91.4661288885212,94,2.09,2.22,0.539529132078632,21.5811652831453
162,138571.414009591,69.2857070047954,71.24,1.32,1.86,181935.846019193,90.9679230095967,94,2.09,2.22,0.542055400120033,21.6822160048013
163,141591.379866376,70.7956899331877,71.24,1.32,1.86,186636.622265084,93.3183111325419,94,2.09,2.22,0.563065529983855,22.5226211993542
164,142294.734773736,71.1473673868678,71.24,1.32,1.86,188526.349995638,94.2631749978191,94,2.09,2.22,0.577895190273783,23.1158076109513
165,143953.219066123,71.9766095330613,71.24,1.32,1.86,190757.19316605,95.378596583025,94,2.09,2.22,0.585049676249092,23.4019870499637
166,142651.024937991,71.3255124689954,71.24,1.32,1.86,187871.797273976,93.935898636988,94,2.09,2.22,0.565259654199815,22.6103861679926
167,140870.871618601,70.4354358093007,71.24,1.32,1.86,186491.405456806,93.2457027284032,94,2.09,2.22,0.570256672977563,22.8102669191025
168,144067.078731859,72.0335393659295,71.24,1.32,1.86,190735.199615375,95.3675998076875,94,2.09,2.22,0.58335151104395,23.334060441758
169,139920.591287834,69.960295643917,71.24,1.32,1.86,185702.405452667,92.8512027263335,94,2.09,2.22,0.572272677060413,22.8909070824165
170,143551.251346531,71.7756256732657,71.24,1.32,1.86,190365.958302198,95.1829791510989,94,2.09,2.22,0.58518383694583,23.4073534778332
171,139044.137788606,69.5220688943031,71.24,1.32,1.86,182046.759846371,91.0233799231857,94,2.09,2.22,0.537532775722065,21.5013110288826
172,147763.240904625,73.8816204523123,71.24,1.32,1.86,195960.184967527,97.9800924837636,94,2.09,2.22,0.602461800786282,24.0984720314513
173,141888.92744902,70.9444637245099,71.24,1.32,1.86,186738.390470035,93.3691952350173,94,2.09,2.22,0.560618287762685,22.4247315105074
174,141886.473929879,70.9432369649394,71.24,1.32,1.86,186013.3111867,93.0066555933499,94,2.09,2.22,0.551585465710263,22.0634186284105
